row_number,prediction
1,0
2,0
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
